	MEF	isp2	MEFDet	isp2Det
1415670_at	4683.8	2367.5	P	P
1415671_at	3868.9	3573.7	P	P
1415672_at	6651.8	6097.2	P	P
1415673_at	2403.9	3257	P	P
1415674_a_at	3953.4	1938.9	P	P
1415675_at	1456.2	692.9	P	P
1415676_a_at	7489.7	6704.8	P	P
1415677_at	741	606.9	P	P
1415678_at	3197.2	3304.7	P	P
1415679_at	4896.2	3311	P	P
1415680_at	2051.3	1640.9	P	P
1415681_at	2457.2	1789.4	P	P
1415682_at	632.3	1907.3	P	P
1415683_at	6212.6	4706	P	P
1415684_at	571.8	1155.8	P	P
1415685_at	332.4	1761.6	P	P
1415686_at	1692.3	1735.3	P	P
1415687_a_at	4709	3992.7	P	P
1415688_at	3434.1	3724	P	P
1415689_s_at	319	446.3	P	P
1415690_at	3800.1	2378.3	P	P
1415691_at	1981.2	2190.5	P	P
1415692_s_at	8514.3	9215.5	P	P
1415693_at	2311.2	1000.2	P	P
1415694_at	1512.9	1261.4	P	P
1415695_at	7855.7	8177.3	P	P
1415696_at	4910.5	1835.4	P	P
1415697_at	4019.8	6968.1	P	P
1415698_at	1267.9	1863.1	P	P
1415699_a_at	6502.9	2857.8	P	P
1415700_a_at	8184.5	5307.3	P	P
1415701_x_at	25462.4	24424.8	P	P
1415702_a_at	7142.6	2932.2	P	P
1415703_at	1600.8	3372.8	P	P
1415704_a_at	7527.9	6674.4	P	P
1415705_at	2376.5	670.6	P	P
1415706_at	9419.3	4367.9	P	P
1415707_at	2576	1091.1	P	P
1415708_at	565.8	2847.1	P	P
1415709_s_at	669.1	523.3	P	P
1415710_at	1748.8	1662.5	P	P
1415711_at	802.2	1022.2	P	P
1415712_at	182.2	565.4	P	P
1415713_a_at	1399.5	1185.2	P	P
1415714_a_at	4767.6	5419.8	P	P
1415715_at	689.1	191.8	P	P
1415716_a_at	20380.9	18050.1	P	P
1415717_at	1160.9	1875.1	P	P
1415718_at	1470.1	966	P	P
1415719_s_at	1242	2208.3	P	P
1415720_s_at	1062.9	547.6	P	P
1415721_a_at	563	602.5	P	P
1415722_a_at	2794.6	2174.7	P	P
1415723_at	2325.9	5755.6	P	P
1415724_a_at	11727.6	6076.7	P	P
1415725_at	1047.8	2026.3	P	P
1415726_at	1569.7	2207.9	P	P
1415727_at	2779.4	1712.9	P	P
1415728_at	1820.2	1446	P	P
1415729_at	1996.2	1962.7	P	P
1415730_at	1079.5	1790.9	P	P
1415731_at	438.5	699	P	P
1415732_at	746.9	524.9	P	P
1415733_a_at	7738.4	5517.5	P	P
1415734_at	7590.3	4120.4	P	P
1415735_at	5882.4	6168.9	P	P
1415736_at	5371.2	2267.9	P	P
1415737_at	1074	694.9	P	P
1415738_at	3740	2817.5	P	P
1415739_at	2263.6	2189.8	P	P
1415740_at	4864	4785	P	P
1415741_at	6188.9	4023.8	P	P
1415742_at	1200	583.9	P	P
1415743_at	638.3	750.1	P	P
1415744_at	5751.8	4609.4	P	P
1415745_a_at	2427.5	1656	P	P
1415746_at	898.3	1347.4	P	P
1415747_s_at	2794.4	2766.2	P	P
1415748_a_at	3049.6	1784.4	P	P
1415749_a_at	4921.4	1726.3	P	P
1415750_at	1160.5	1583.1	P	P
1415751_at	2336.5	893.3	P	P
1415752_at	5306.7	2807.6	P	P
1415753_at	2612	1856.2	P	P
1415754_at	5777.9	3931.6	P	P
1415755_a_at	5346.3	3350.6	P	P
1415756_a_at	1121.9	1396.1	P	P
1415757_at	609.9	638.3	P	P
1415758_at	741.9	649.5	P	P
1415759_a_at	4915.7	2455.2	P	P
1415760_s_at	4106.7	3248.7	P	P
1415761_at	2796.1	1392.3	P	P
1415762_x_at	2932.5	1605.4	P	P
1415763_a_at	2971.4	2003.8	P	P
1415764_at	3165.6	4707.6	P	P
1415765_at	846.9	1485.7	P	P
1415766_at	604.9	460.1	P	P
1415767_at	2704.8	5337.7	P	P
1415768_a_at	1278.3	1473.4	P	P
1415769_at	768	670.5	P	P
1415770_at	1510.5	891.3	P	P
1415771_at	10671.2	22587	P	P
1415772_at	611.4	1450.5	P	P
1415773_at	5508	15941.3	P	P
1415774_at	960	1163.8	P	P
1415775_at	15150.2	12329.1	P	P
1415776_at	340.2	350.7	P	P
1415777_at	8	1.3	A	A
1415778_at	15545.8	13557.8	P	P
1415779_s_at	33205.7	23505.2	P	P
1415780_a_at	2880.7	1171.2	P	P
1415781_a_at	24686.3	22951.4	P	P
1415782_at	12552.7	15434.1	P	P
1415783_at	4674.7	8505.3	P	P
1415784_at	1068.2	2005.2	P	P
1415785_a_at	6145.1	10331.5	P	P
1415786_at	44.6	95.8	A	P
1415787_at	1176.7	1914.8	P	P
1415788_at	1963.3	2786.1	P	P
1415789_a_at	531.6	779.4	P	P
1415790_at	655.7	803.4	P	P
1415791_at	1625.6	1501.4	P	P
1415792_at	1111.6	1315.8	P	P
1415793_at	591.1	1334.4	P	P
1415794_a_at	2044.9	2820.3	P	P
1415795_at	559	921.9	P	P
1415796_at	4452.5	1837.2	P	P
1415797_at	508.2	547.8	P	P
1415798_at	177.9	292.1	A	P
1415799_at	3587.8	4932.9	P	P
1415800_at	8820.1	10505.4	P	P
1415801_at	2502.4	2302.2	P	P
1415802_at	2901.3	5654.7	P	P
1415803_at	373.3	95.6	P	P
1415804_at	61.2	54.3	A	A
1415805_at	11.2	67.2	A	P
1415806_at	2025.4	124.6	P	P
1415807_s_at	5796.3	3559.8	P	P
1415808_at	16.4	12.6	A	A
1415809_at	3.9	17.2	A	A
1415810_at	3508.8	5195.8	P	P
1415811_at	891.8	2949.9	P	P
1415812_at	8408.7	730.1	P	P
1415813_at	2299.6	3638.2	P	P
1415814_at	3416.7	3929.3	P	P
1415815_at	5.8	33	A	A
1415816_at	14046.7	12877.9	P	P
1415817_s_at	6807.4	7322.1	P	P
1415818_at	5136.2	941.4	P	P
1415819_a_at	4921	5290.9	P	P
1415820_x_at	8446.8	8146	P	P
1415821_at	10780	3583.7	P	P
1415822_at	19566.1	7533.9	P	P
1415823_at	6335.9	3352.6	P	P
1415824_at	1490.9	1046.6	P	P
1415825_s_at	1408.6	1493.1	P	P
1415826_at	1568	2504.4	P	P
1415827_a_at	6672.9	2050.6	P	P
1415828_a_at	9001.5	2644.7	P	P
1415829_at	4333.1	8163.9	P	P
1415830_at	556.5	3565.9	P	P
1415831_at	7677.5	6800.9	P	P
1415832_at	57.6	2.5	A	A
1415833_x_at	25499.1	24779.5	P	P
1415834_at	2513.8	3027.3	P	P
1415835_at	4.6	10.6	A	A
1415836_at	1353.3	1980.7	P	P
1415837_at	2.1	103.1	A	P
1415838_at	4298.7	2282.1	P	P
1415839_a_at	12800.6	28282.7	P	P
1415840_at	5222.7	4497.2	P	P
1415841_at	3411.8	2276.1	P	P
1415842_at	326.3	408.8	P	P
1415843_at	281.3	341.1	P	P
1415844_at	8.4	91.9	A	A
1415845_at	5.6	148.8	A	P
1415846_a_at	17	97.2	A	P
1415847_at	12.7	177.5	A	P
1415848_at	136.6	67.5	A	A
1415849_s_at	11768.8	9741.5	P	P
1415850_at	934.3	246.2	P	M
1415851_a_at	8408	9179.9	P	P
1415852_at	9394.6	11050.7	P	P
1415853_at	402.7	1961.3	P	P
1415854_at	28	26.6	A	P
1415855_at	220.8	107.1	P	P
1415856_at	369.2	3299.7	P	P
1415857_at	757	6583.5	P	P
1415858_at	11263	11567	P	P
1415859_at	4654.7	4237.5	P	P
1415860_at	10124.3	12664.6	P	P
1415861_at	3.2	1.7	A	A
1415862_at	15.3	18	A	A
1415863_at	10431.1	12234	P	P
1415864_at	685.2	442.6	P	P
1415865_s_at	633.8	442.6	P	P
1415866_at	285	271.2	P	P
1415867_at	12601.2	14248	P	P
1415868_at	1.9	190.8	A	P
1415869_a_at	8010.7	15085.7	P	P
1415870_at	6607.4	2969.8	P	P
1415871_at	643.7	62.6	P	P
1415872_at	4078.2	9843.6	P	P
1415873_a_at	5315.7	1614.1	P	P
1415874_at	1558.5	696.2	P	P
1415875_at	50.7	30.7	A	A
1415876_a_at	20759.5	18736	P	P
1415877_at	3719	310.7	P	P
1415878_at	7215.4	3859.5	P	P
1415879_a_at	29527.2	28467.2	P	P
1415880_a_at	10382.6	7327	P	P
1415881_at	1952.4	4724.9	P	P
1415882_at	6507.1	8270.5	P	P
1415883_a_at	2.9	4.2	A	A
1415884_at	132.1	126.7	A	A
1415885_at	5.9	8.7	A	A
1415886_at	118.8	194.5	A	P
1415887_at	7876.3	4324.3	P	P
1415888_at	2531	6564.3	P	P
1415889_a_at	7296.4	8792.4	P	P
1415890_at	2841	702.1	P	P
1415891_at	3861.7	4379.3	P	P
1415892_at	1400	1352.6	P	P
1415893_at	542.3	887	P	P
1415894_at	132.8	137.7	A	P
1415895_at	2761.6	6356.1	A	P
1415896_x_at	1389.6	4237.6	A	P
1415897_a_at	1441.7	482.8	P	P
1415898_at	8.8	10.7	A	A
1415899_at	830.2	696.8	P	P
1415900_a_at	18.2	394	A	P
1415901_at	3335.9	1090.7	P	P
1415902_at	3.9	1.7	A	A
1415903_at	1987.6	2135.9	P	P
1415904_at	527.1	194.6	P	P
1415905_at	46.7	15.7	A	A
1415906_at	30550	13139	P	P
1415907_at	4082.1	4603	P	P
1415908_at	1843.9	986.2	P	P
1415909_at	5276.6	6489.6	P	P
1415910_s_at	2278.6	2283.6	P	P
1415911_at	716.3	1162.3	P	P
1415912_a_at	15477.8	15461.4	P	P
1415913_at	118.6	645.2	A	P
1415914_at	16102.5	13934.5	P	P
1415915_at	4707.2	6766.8	P	P
1415916_a_at	3550.1	8807.1	P	P
1415917_at	1809.5	6810.2	P	P
1415918_a_at	16193.3	10797.1	P	P
1415919_at	1184.5	539	P	P
1415920_at	3391.4	3597.5	P	P
1415921_a_at	8.2	68.5	A	P
1415922_s_at	7555.1	6604.4	P	P
1415923_at	5822.1	565.2	P	P
1415924_at	5.1	7.9	A	A
1415925_a_at	3970.3	5689.9	P	P
1415926_at	5203.2	7083.7	P	P
1415927_at	513.3	4.5	P	A
1415928_a_at	4838.1	2887.3	P	P
1415929_at	3182.5	2101.5	P	P
1415930_a_at	7233.2	4729.5	P	P
1415931_at	1776.4	5.2	P	A
1415932_x_at	195.5	735.6	P	P
1415933_a_at	22427.6	16727.9	P	P
1415934_at	3363.7	1905.8	P	P
1415935_at	2413	70.4	P	P
1415936_at	356.4	684.5	P	P
1415937_s_at	358.4	364.5	P	P
1415938_at	2.9	264.6	A	P
1415939_at	290.8	81.3	P	A
1415940_at	1338.8	781.6	P	P
1415941_s_at	538.8	243.2	P	P
1415942_at	24721.4	21942.1	P	P
1415943_at	3564.3	853.2	P	P
1415944_at	1028.9	152.7	P	P
1415945_at	2364	4927	P	P
1415946_at	695.8	1330.6	P	P
1415947_at	722.7	510.2	P	P
1415948_at	240.9	146	P	P
1415949_at	9649.8	767.4	P	P
1415950_a_at	8869.8	7645.5	P	P
1415951_at	4746.5	370.7	P	P
1415952_at	592.5	975.1	P	P
1415953_s_at	254.1	308.5	P	P
1415954_at	5.5	21.1	A	A
1415955_x_at	6.2	26.2	A	A
1415956_a_at	1396.5	1255.6	P	P
1415957_a_at	1731.1	2160	P	P
1415958_at	157.9	179.3	A	A
1415959_at	11.8	74.6	A	A
1415960_at	68	14.5	A	A
1415961_at	5631.9	1286.5	P	P
1415962_at	11251.5	8255.6	P	P
1415963_at	2837.2	3495.2	P	P
1415964_at	2647.5	1642.7	P	P
1415965_at	1418.4	793.5	P	P
1415966_a_at	3617.3	3279	P	P
1415967_at	4590.6	5712.1	P	P
1415968_a_at	256.6	107.9	P	P
1415969_s_at	14.6	8.9	A	A
1415970_at	12623.3	12525.3	P	P
1415971_at	10505.1	2467.1	P	P
1415972_at	2644.7	940.9	P	P
1415973_at	3220.7	979.3	P	P
1415974_at	1826.3	1656.1	P	P
1415975_at	1800.6	605	P	P
1415976_a_at	2351.3	561.7	P	P
1415977_at	584.5	3559.7	P	P
1415978_at	775.2	372.5	P	P
1415979_x_at	24027	23040.9	P	P
1415980_at	6973.8	8091.8	P	P
1415981_at	1312.4	1522.4	P	P
1415982_at	409	537.9	P	P
1415983_at	38	45.9	P	P
1415984_at	2323.2	3961.2	P	P
1415985_at	2971.9	5326.1	P	P
1415986_at	528.4	227.8	P	P
1415987_at	5362	2026.1	P	P
1415988_at	950.8	829.8	P	P
1415989_at	1073.4	140.5	P	P
1415990_at	13666.3	11004.8	P	P
1415991_a_at	5021.1	2941.9	P	P
1415992_at	207	733.1	A	P
1415993_at	5666.5	2682.4	P	P
1415994_at	28.9	28.3	A	A
1415995_at	807.5	340.4	P	P
1415996_at	1006.6	8131.9	P	P
1415997_at	808.7	7149.1	P	P
1415998_at	8113.1	9372.2	P	P
1415999_at	158.6	139.6	A	A
1416000_a_at	19280.1	21989.7	P	P
1416001_a_at	811.4	580.8	A	A
1416002_x_at	266.4	487.7	P	P
1416003_at	5.6	4.2	A	A
1416004_at	9290.8	5703.3	P	P
1416005_at	5979.4	3812.2	P	P
1416006_at	2876.7	2763.9	P	P
1416007_at	49.5	177.4	A	P
1416008_at	97	217.4	P	P
1416009_at	6372	2796.2	P	P
1416010_a_at	5721.9	1938.8	P	P
1416011_x_at	3616.5	2886.8	P	P
1416012_at	526.7	271.3	P	P
1416013_at	632.3	1052	P	P
1416014_at	662.9	4002.3	P	P
1416015_s_at	993.5	4469.3	P	P
1416016_at	89.8	140.8	A	P
1416017_at	1020.6	715.7	P	P
1416018_at	1017.3	1374.5	P	P
1416019_at	653.3	775.6	P	P
1416020_a_at	5386.4	4048.6	P	P
1416021_a_at	19698.3	3369.5	P	P
1416022_at	7154.1	1059.2	P	P
1416023_at	733.4	7968.7	P	P
1416024_x_at	15774.1	14301.8	P	P
1416025_at	40.9	70.4	A	M
1416026_a_at	22910.7	22095.1	P	P
1416027_at	4798	3036.2	P	P
1416028_a_at	6378.4	1654.5	P	P
1416029_at	991.3	5274.4	P	P
1416030_a_at	4254.9	10310.1	P	P
1416031_s_at	4525	7370.1	P	P
1416032_at	1257.5	704	P	P
1416033_at	93.8	107.5	P	P
1416034_at	8974.2	1201.1	P	P
1416035_at	636.8	1086	P	P
1416036_at	12290.7	5006.6	P	P
1416037_a_at	13200.4	12988	P	P
1416038_at	2694.8	1685.1	P	P
1416039_x_at	14489.2	1449.3	P	P
1416040_at	4.8	12.7	A	A
1416041_at	8215.3	11387.5	P	P
1416042_s_at	2223.2	7790.4	P	P
1416043_at	54	3391.7	A	P
1416044_at	2454.6	770.9	P	P
1416045_a_at	2415.3	2191.4	P	P
1416046_a_at	262.1	529.7	P	P
1416047_at	11.3	18.1	A	A
1416048_at	3760.2	894.1	P	P
1416049_at	26.8	4558.8	A	P
1416050_a_at	1610.1	1458.8	P	P
1416051_at	71.2	107.4	A	P
1416052_at	2946.8	6548.1	P	P
1416053_at	5.9	69.5	A	A
1416054_at	24108.5	20219.1	P	P
1416055_at	7.7	7.3	A	A
1416056_a_at	8424	4845.8	P	P
1416057_at	4688.3	3761.4	P	P
1416058_s_at	17731.6	12152.8	P	P
1416059_at	3613.3	2866.1	P	P
1416060_at	1235.9	5941.7	P	P
1416061_at	1052.8	4032.7	P	P
1416062_at	312.8	1095.7	P	P
1416063_x_at	22.4	9.6	A	A
1416064_a_at	23057.4	7555.2	P	P
1416065_a_at	2831.4	3060.8	P	P
1416066_at	4852.8	4269.7	P	P
1416067_at	5586.7	4090.6	P	P
1416068_at	5830.7	7089.8	P	P
1416069_at	972.6	3904.6	P	P
1416070_a_at	1244.9	2092.9	P	P
1416071_at	3632.8	6171	P	P
1416072_at	245.3	55.6	P	A
1416073_a_at	2305.1	3351	P	P
1416074_a_at	23634.5	24596.5	P	P
1416075_at	827.9	483.3	P	P
1416076_at	3985.5	6562.5	P	P
1416077_at	3679.3	106.3	P	P
1416078_s_at	1887.7	2112.2	P	P
1416079_a_at	1400.5	1478.3	P	P
1416080_at	259.6	72.4	P	P
1416081_at	605.8	299.6	P	P
1416082_at	16020	12742.6	P	P
1416083_at	3075.5	3681.2	P	P
1416084_at	606.3	723.5	P	P
1416085_s_at	4028.6	3159.3	P	P
1416086_at	1217	721	P	P
1416087_at	4765.4	1101.5	P	P
1416088_a_at	19244.1	17187	P	P
1416089_at	13820.2	16605.7	P	P
1416090_at	4787.5	8096	P	P
1416091_at	1469.2	746.3	P	P
1416092_a_at	2779.6	1765.7	P	P
1416093_a_at	4476	1918.5	P	P
1416094_at	4010.4	1409.6	P	P
1416095_x_at	2849	7996	P	P
1416096_at	582.2	681.1	P	P
1416097_at	4	10.4	A	A
1416098_at	112.7	157.9	A	P
1416099_at	25562.9	21758.4	P	P
1416100_at	9376.4	9964.6	P	P
1416101_a_at	6089	702.3	P	P
1416102_at	4991.8	3876.5	P	P
1416103_at	448.1	618.8	P	P
1416104_at	1223.6	2537.4	P	P
1416105_at	1100.1	843.3	P	P
1416106_at	3172	2073.2	P	P
1416107_at	8.5	138.6	A	A
1416108_a_at	3153.2	393.2	P	P
1416109_at	2326.7	943.9	P	P
1416110_at	2330.1	872.5	P	P
1416111_at	34.9	29.3	A	A
1416112_at	5720	5297.9	P	P
1416113_at	2128.2	1842.9	P	P
1416114_at	29.7	4.1	A	A
1416115_at	409.7	1837.8	P	P
1416116_at	99.8	179.8	P	P
1416117_at	100.2	76.5	A	P
1416118_at	2395.3	4377.7	P	P
1416119_at	20624.9	15363.8	P	P
1416120_at	8183.3	6604.1	P	P
1416121_at	9272.8	1846	P	P
1416122_at	8498.6	622.9	P	P
1416123_at	329.8	64	P	P
1416124_at	1034.7	86.2	P	P
1416125_at	1520.5	4312.7	P	P
1416126_at	1379.4	2194.1	P	P
1416127_a_at	5817.9	3519	P	P
1416128_at	1232.9	283.6	P	P
1416129_at	6640.4	1157.9	P	P
1416130_at	2543.6	366.8	P	P
1416131_s_at	862.2	1658.3	P	P
1416132_at	429.8	949.6	P	P
1416133_at	1078.6	2222.3	P	P
1416134_at	15.3	1211	A	P
1416135_at	6001.1	7558.6	P	P
1416136_at	2117.8	308.9	P	P
1416137_at	543	561.5	P	P
1416138_at	5546.8	3464.1	P	P
1416139_at	6.9	202.8	A	P
1416140_a_at	2067.7	3427.4	P	P
1416141_a_at	28885.1	27225.5	P	P
1416142_at	3270.4	1992.2	P	P
1416143_at	8965.8	8420.3	P	P
1416144_a_at	8683.6	8756.8	P	P
1416145_at	6458.2	10261	P	P
1416146_at	6578.9	12265.2	P	P
1416147_at	267.2	1550.5	A	P
1416148_at	1660.9	2150.9	P	P
1416149_at	19.6	2206.1	A	P
1416150_a_at	11202.3	10492.2	P	P
1416151_at	1088.4	1898.2	P	P
1416152_a_at	2272.3	3948	P	P
1416153_at	3155.1	4867.9	P	P
1416154_at	76.2	25.2	A	A
1416155_at	2909.9	1117	P	P
1416156_at	14632.2	1384.6	P	P
1416157_at	1100.8	302.3	P	P
1416158_at	275.6	21.9	P	P
1416159_at	612.7	57.4	P	A
1416160_at	91.5	3.7	P	A
1416161_at	4582.3	6954.1	P	P
1416162_at	762.8	3053.4	P	P
1416163_at	2631.4	2335.5	P	P
1416164_at	6013.9	91.7	P	A
1416165_at	1856.8	369.8	P	P
1416166_a_at	2475.9	664.8	P	P
1416167_at	8122.3	4095	P	P
1416168_at	10815.2	538.6	P	P
1416169_at	9.6	2.6	A	A
1416170_at	1950	3212.1	P	P
1416171_at	3243.1	3182	P	P
1416172_at	3166.4	4864.3	P	P
1416173_at	343.3	177.4	A	P
1416174_at	335.3	724.3	P	P
1416175_a_at	12827.8	6567.8	P	P
1416176_at	4144.2	5551.4	P	P
1416177_at	7182.9	5290.2	P	P
1416178_a_at	85	321.8	A	P
1416179_a_at	3127.7	3438.8	P	P
1416180_a_at	703.7	1407.4	P	P
1416181_at	6289.6	5117.7	P	P
1416182_at	791.2	826.1	P	P
1416183_a_at	1486.7	5533.1	P	P
1416184_s_at	10459.9	15327.4	P	P
1416185_a_at	8129.9	10907.4	P	P
1416186_at	1365.7	2119.5	P	P
1416187_s_at	1730.5	2452.1	P	P
1416188_at	237.6	350.2	A	P
1416189_a_at	8747.2	3610.5	P	P
1416190_a_at	1234.1	1141.9	P	P
1416191_at	2628.1	1942.5	P	P
1416192_at	834.1	284.1	P	P
1416193_at	25.3	1.8	A	A
1416194_at	15.8	18.4	A	A
1416195_at	332.8	372.1	P	P
1416196_at	120.4	51.6	P	P
1416197_at	6458.6	5548.9	P	P
1416198_at	1041	1708.3	P	P
1416199_at	385.3	409.9	P	P
1416200_at	17.7	62.2	A	P
1416201_at	1537.6	2062.6	P	P
1416202_at	7433.3	6620.1	P	P
1416203_at	1653	22.7	P	A
1416204_at	101.5	31.5	A	A
1416205_at	963.5	1396.9	P	P
1416206_at	203.8	276.5	P	P
1416207_at	584.5	705.1	P	P
1416208_at	6533.7	5948.4	P	P
1416209_at	5778	9106.4	P	P
1416210_at	3468.6	2541.6	P	P
1416211_a_at	1318.9	11.3	P	A
1416212_at	7808.2	6888.1	P	P
1416213_x_at	4087.1	832.8	P	P
1416214_at	3279.6	7042.5	P	P
1416215_at	641.7	708.3	P	P
1416216_at	1407.9	1565	P	P
1416217_a_at	23587.4	19259.9	P	P
1416218_x_at	2954.5	1995.4	P	P
1416219_at	25491.9	21950.7	P	P
1416220_at	8810.7	3756.8	P	P
1416221_at	12190.7	2572.5	P	P
1416222_at	2999.1	1250.5	P	P
1416223_at	598.8	544.1	P	P
1416224_at	518.9	362.2	P	P
1416225_at	56	48.1	A	A
1416226_at	5360.9	1460.4	P	P
1416227_at	85.5	62.2	A	A
1416228_at	6829.5	3413.6	P	P
1416229_at	1449.8	954.3	P	P
1416230_at	960.6	784.4	P	P
1416231_at	152.9	472.8	A	P
1416232_at	24.4	985.2	A	P
1416233_at	14625.7	10591.3	P	P
1416234_at	10718.3	3530.3	P	P
1416235_at	7675.7	3143.8	P	P
1416236_a_at	275.5	2599.3	P	P
1416237_at	126.9	1211	P	P
1416238_at	3.2	3.1	A	A
1416239_at	2460	4839	P	P
1416240_at	19547.9	16955.6	P	P
1416241_at	7126.4	2948.1	P	P
1416242_at	93.3	4604.2	A	P
1416243_a_at	24258.2	20257.8	P	P
1416244_a_at	18907.7	16188.1	P	P
1416245_at	4351.8	3527.8	P	P
1416246_a_at	52.6	272.1	A	P
1416247_at	4476.4	2775.8	P	P
1416248_at	4013.9	1898.2	P	P
1416249_at	2612.7	1479.5	P	P
1416250_at	1637.1	509.6	P	P
1416251_at	6926	12143.3	P	P
1416252_at	1940.4	4391.3	P	P
1416253_at	1649.3	682.4	P	P
1416254_a_at	892.1	884.4	P	P
1416255_at	9.5	38.5	A	A
1416256_a_at	23209.6	16504.1	P	P
1416257_at	9591.9	402.4	P	P
1416258_at	3318.4	1682.2	P	P
1416259_at	350.6	726.8	P	P
1416260_a_at	1543.1	546.7	P	P
1416261_at	538.5	582	P	P
1416262_at	592.3	569.3	P	P
1416263_at	63.1	63.2	A	A
1416264_at	33.6	22.9	A	A
1416265_at	198.7	375.8	P	P
1416266_at	12.7	30.4	A	A
1416267_at	1420.2	825.6	P	P
1416268_at	1487.7	789.7	P	P
1416269_at	11307	7939.7	P	P
1416270_at	6285.9	4670.3	P	P
1416271_at	243.6	813.1	P	P
1416272_at	4600.4	2611.7	P	P
1416273_at	602.3	94.7	P	P
1416274_at	95.8	215.6	P	P
1416275_at	132.6	279.1	P	P
1416276_a_at	24679.4	29731.4	P	P
1416277_a_at	28160.2	26234.1	P	P
1416278_a_at	12898.2	8585.4	P	P
1416279_at	1014.6	1447.2	P	P
1416280_at	8424.7	13331.6	P	P
1416281_at	3140.4	2400.8	P	P
1416282_at	8479.9	4733.7	P	P
1416283_at	2634.7	6883.1	P	P
1416284_at	2751.3	2840.6	P	P
1416285_at	5261.4	4179.2	P	P
1416286_at	615.5	8	P	A
1416287_at	476.4	48.2	P	A
1416288_at	6624.1	6888.2	P	P
1416289_at	528	436.7	P	P
1416290_a_at	8980.8	6439.9	P	P
1416291_at	5673.8	3885.5	P	P
1416292_at	3630.8	1573	P	P
1416293_at	139.2	40.9	A	A
1416294_at	1542.7	1704.4	P	P
1416295_a_at	113.9	155.7	A	P
1416296_at	81.4	99.5	A	A
1416297_s_at	98.3	90	A	A
1416298_at	170.4	123.1	P	P
1416299_at	650.3	3899.3	P	P
1416300_a_at	20936	16364.8	P	P
1416301_a_at	251.9	34.6	P	P
1416302_at	241.1	68.9	P	P
1416303_at	6477	2696.8	P	P
1416304_at	3669.3	1354.6	P	P
1416305_at	536.9	550.9	P	P
1416306_at	2.7	1.6	A	A
1416307_at	1497.8	664	P	P
1416308_at	7154.3	1407.7	P	P
1416309_at	640.5	4874	P	P
1416310_at	15.7	67.9	A	P
1416311_s_at	1823.8	953	P	P
1416312_at	5008.8	4546.3	P	P
1416313_at	1835.1	512.1	P	P
1416314_at	59.4	15.5	A	A
1416315_at	1011.1	823.3	P	P
1416316_at	7.4	649.7	A	P
1416317_a_at	857.3	187.8	P	P
1416318_at	5.6	30.2	A	A
1416319_at	2725.9	3147.4	P	P
1416320_at	551	572.2	P	P
1416321_s_at	5.7	31.1	A	A
1416322_at	18.6	4.2	A	A
1416323_at	583.1	651.3	P	P
1416324_s_at	711.4	690.5	P	P
1416325_at	3.2	617.1	A	P
1416326_at	1556.1	1094.1	P	P
1416327_at	3293.9	1852.1	P	P
1416328_a_at	7956	3165.7	P	P
1416329_at	5552.2	4290.3	P	P
1416330_at	13126.5	4735.3	P	P
1416331_a_at	1223.5	1764.7	P	P
1416332_at	549.9	688.6	P	P
1416333_at	57.4	899.2	A	P
1416334_at	92.4	131.7	P	P
1416335_at	15651	17189.3	P	P
1416336_s_at	3123	3712.9	P	P
1416337_at	4320	4779.8	P	P
1416338_at	1925.7	1003	P	P
1416339_a_at	2609.1	3601.8	P	P
1416340_a_at	656.8	1725.3	P	P
1416341_at	4449.5	4320.6	P	P
1416342_at	11160.7	568.2	P	P
1416343_a_at	1062.6	448.3	P	P
1416344_at	2374.3	658.2	P	P
1416345_at	5809.4	5151.7	P	P
1416346_at	3402.8	2253.8	P	P
1416347_at	1161.1	675.9	P	P
1416348_at	498.2	284.7	P	P
1416349_at	2087.7	1539.9	P	P
1416350_at	831	881.1	P	P
1416351_at	3584.8	3557.1	P	P
1416352_s_at	3786.5	3067.4	P	P
1416353_at	1227.6	1419.9	P	P
1416354_at	3092	112.3	P	A
1416355_at	6.3	29.2	A	P
1416356_at	1578.8	874.4	P	P
1416357_a_at	1317.9	648	P	P
1416358_at	718	837.2	P	P
1416359_at	2035.8	2041.2	P	P
1416360_at	565.5	775.7	P	P
1416361_a_at	129.6	54.7	A	P
1416362_a_at	3210.3	4813.3	P	P
1416363_at	82.4	207.9	A	P
1416364_at	14903.6	22511.2	P	P
1416365_at	14303	16996.5	P	P
1416366_at	8202.5	5339.5	P	P
1416367_at	673.4	902.1	P	P
1416368_at	595	13967.7	P	P
1416369_at	1256.1	1463.2	P	P
1416370_at	452.1	724.4	P	P
1416371_at	149.2	101.7	A	A
1416372_at	2157.4	1190.4	P	P
1416373_at	839	987.8	P	P
1416374_at	424.6	968.7	P	P
1416375_at	104.5	121.7	P	P
1416376_at	2763.5	1076.2	P	P
1416377_at	496.5	1254.8	P	P
1416378_at	508.5	676.1	P	P
1416379_at	713.7	269.5	P	P
1416380_at	176.5	1157.3	P	P
1416381_a_at	4592.2	1348.7	P	P
1416382_at	2894	1421.3	P	P
1416383_a_at	120.4	342.4	A	P
1416384_a_at	4532.8	2293.8	P	P
1416385_a_at	5705.4	3838.1	P	P
1416386_a_at	2956.5	2839	P	P
1416387_at	645.3	1593.1	P	P
1416388_at	138.3	636.2	A	P
1416389_a_at	2012.2	1068.5	P	P
1416390_at	290.1	102.4	P	P
1416391_at	129.9	104.5	M	P
